times,alternator_currents,battery_currents,velocities
563,0,-24.063,13.62
564,0,-24.163,14.66
565,0,-23.106,16.24
566,-75.407,50.868,17.24
567,-66.948,43.285,15.98
568,-55.116,31.011,14.38
569,-39.141,14.595,11.28
570,-7.708,-14.395,5.1
571,0,-24.074,0
572,0,-23.862,0
573,0,-24.336,0
574,0,-23.956,0
575,0,-24.064,0
576,0,-23.965,0
577,0,-24.324,0
578,0,-23.965,0
579,0,-23.949,0
580,0,-24.411,0
581,0,-24.088,0
582,0,-24.426,0
583,0,-24.087,0
584,0,-23.705,0
585,0,-24.067,0
586,0,-23.89,0
587,0,-24.05,0
588,0,-23.976,0
589,0,-24.425,0
590,0,-24.085,0
591,0,-24.091,0
592,0,-23.939,0
593,0,-24.29,0
594,0,-24.119,0
595,0,-23.919,0
596,0,-24.082,0
597,0,-24.044,0
598,0,-24.456,0
599,0,-24.067,0
600,0,-24.378,0
601,0,-24.048,0
602,0,-24.178,0
603,0,-24.055,0
604,0,-23.683,0
605,-29.569,10.887,0
606,-49.567,31.336,0
607,-1.656,-22.164,4.72
608,-29.079,4.629,10.34
609,-47.576,26.425,13.74
610,0,-24.177,14.6
611,0,-24.604,19.34
612,0,-25.144,26.04
613,0,-24.751,31.7
614,0,-24.475,32.5
615,0,-23.85,34.58
616,-4.012,-21.484,38.84
617,-51.766,30.724,40.96
618,-47.289,26.181,45.68
619,-44.45,22.713,48.12
620,-41.318,19.994,47.94
621,-70.249,51.393,48.08
622,-52.561,31.379,47.48
623,-27.75,6.085,46.32
624,-28.837,7.346,45.1
625,-28.726,6.841,44.56
626,-28.875,7.184,44.46
627,-29.265,7.206,44.46
628,-28.071,6.126,44.5
629,-27.532,5.766,44.66
630,-27.744,5.974,44.96
631,-26.592,4.587,45.26
632,-26.348,4.628,45.74
633,-26.301,4.947,46.18
634,-26.696,4.587,46.48
635,-26.755,4.651,46.76
636,-26.269,4.499,47.54
637,-26.344,4.258,49.22
638,-26.172,4.184,51.48
639,-25.841,4.145,51.36
640,-26.214,4.087,52.48
641,-27.086,5.308,53.16
642,-27.011,5.063,53.3
643,-26.78,4.862,52.84
644,-25.449,3.835,52.32
645,-25.02,3.438,52.06
646,-25.67,3.434,52.46
647,-25.162,3.3,53.68
648,-25.696,3.458,54.84
649,-25.323,3.168,55.3
650,-25.719,4.057,55.6
651,-26.41,4.524,55.78
652,-26.494,4.203,55.88
653,-26.783,4.81,56.08
654,-63.855,40.208,56.28
655,-60.462,36.233,55.88
656,-58.18,34.611,54.82
657,-57.67,33.685,53.5
658,-56.279,32.386,51.98
659,-55.699,31.744,49.38
660,-54.455,30.365,46.24
661,-54.253,30.537,42.1
662,-53.679,29.839,38.74
663,-53.143,29.261,35.24
664,-52.386,27.956,30.8
665,-52.248,28.095,26.16
666,-51.617,27.822,21.16
667,-47.262,26.711,16.16
668,-17.545,-4.352,14.2
669,0,-23.83,12.88
670,-7.281,-15.87,12.96
671,-0.596,-22.333,15.8
672,0,-23.649,20.3
673,0,-23.401,24.56
674,-26.57,4.591,27.26
675,0,-23.849,29.48
676,0,-23.954,32.52
677,-30.726,9.43,35.12
678,-27.92,5.883,35.92
679,-26.54,4.461,37.64
680,-51.619,27.71,39.1
681,-56.687,32.664,39.86
682,-54.393,30.439,39.24
683,-53.051,29.15,37.34
684,-52.635,28.854,34.34
685,-48.439,28.144,30.62
686,-47.629,27.338,24.82
687,-8.027,-14.365,22.3
688,-6.27,-16.059,20.22
689,0,-23.144,19.78
690,0,-23.628,21.34
691,0,-23.318,24.34
692,-27.767,5.923,25.24
693,-25.823,3.767,26.82
694,-24.426,2.366,28.42
695,-23.219,1.216,30.24
696,-22.27,0,31.1
697,-22.276,0,31.84
698,-52.687,28.315,32.6
699,-53.9,29.996,32.92
700,-52.417,28.297,32.04
701,-49.374,27.862,29.4
702,-47.395,27.246,26.72
703,-28.652,7.278,24.58
704,0,-23.372,21.9
705,0,-23.114,22.3
706,0,-23.292,22.36
707,-20.463,1.408,21.06
708,-57.384,33.311,19.6
709,-52.836,28.682,19.36
710,-51.348,27.133,18.66
711,-46.217,25.743,17.2
712,-8.272,-13.455,14.34
713,-8.658,-13.864,13.1
714,-13.93,-8.872,13.24
715,-16.224,-6.273,16.24
716,-22.079,-4.111,20.48
717,-54.367,30.514,22.52
718,-50.888,26.925,22.14
719,-48.982,25.871,20.32
720,-36.425,16.124,16.52
721,0,-22.729,14.2
722,0,-23.413,13.22
723,0,-23.737,14.08
724,0,-23.478,16.28
725,0,-23.527,18.56
726,0,-23.418,20.56
727,0,-23.584,22.48
728,0,-23.585,24.42
729,0,-22.971,25.88
730,0,-24.394,27.86
731,0,-23.537,31.96
732,0,-23.581,36.34
733,0,-23.502,37.34
734,0,-24.195,40.14
735,0,-23.702,42.16
736,0,-23.494,42.08
737,-5.854,-19.196,42.78
738,-43.004,22.082,43.24
739,-38.451,17.238,43.72
740,-35.178,13.954,44.08
741,-33.125,11.308,44.36
742,-31.219,9.226,44.66
743,-30.06,7.891,44.94
744,-28.595,6.631,45.14
745,-27.937,5.982,45.34
746,-27.377,5.135,45.54
747,-25.704,3.629,45.72
748,-25.251,3.084,45.94
749,-24.675,2.951,46.08
750,-25.057,2.741,46.28
751,-24.989,2.599,46.46
752,-24.777,2.516,46.7
753,-25.288,3.497,47.2
754,-25.132,3.332,47.68
755,-25.278,2.959,48.18
756,-28.28,6.722,49
757,-42.003,20.101,49.64
758,-54.14,30.102,50.2
759,-52.326,28.102,50.2
760,-51.497,27.407,49.06
761,-50.589,26.36,47.64
762,-49.406,26.1,43.62
763,-49.128,25.638,39.62
764,-48.31,25.193,34.96
765,-47.879,24.627,30.84
766,-43.185,23.023,26.6
767,-1.482,-21.06,24.76
768,0,-22.49,19.96
769,0,-22.765,17.94
770,0,-22.603,16.28
771,0,-22.465,16.74
772,0,-23.189,18.28
773,0,-22.745,19.94
774,0,-22.117,24.5
775,0,-23.317,26.98
776,0,-23.072,30.38
777,0,-22.545,36.32
778,0,-22.743,43.06
779,0,-22.511,44.48
780,0,-22.735,48.08
781,0,-22.943,53.08
782,0,-22.519,54.18
783,0,-22.569,57.5
784,0,-22.786,58.1
785,-0.34,-22.816,59.4
786,-45.101,24.633,60.4
787,-40.271,19.534,60.94
788,-36.491,15.992,61.3
789,-33.886,13.267,61.9
790,-32.081,11.21,62.9
791,-30.599,9.627,63.68
792,-27.81,7.156,64.46
793,-27.171,6.192,64.84
794,-26.387,5.608,65.08
795,-25.382,3.612,65.24
796,-52.527,28.743,65.38
797,-53.86,30.608,65.54
798,-52.022,28.697,65.52
799,-50.771,27.524,63.26
800,-50.178,27.003,57.8
801,-49.366,26.016,52.6
802,-44.872,25.673,48.18
803,-40.395,20.832,44.08
804,-0.93,-21.413,42.56
805,-9.704,-12.495,42.64
806,-13.129,-8.48,42.74
807,-15.431,-6.161,45.04
808,-16.952,-4.138,47.6
809,-18.447,-3.229,50.7
810,-19.38,-2.366,53.16
811,-53.425,29.44,53.68
812,-50.139,26.589,53.04
813,-48.686,25.468,51.92
814,-48.072,24.965,50.68
815,-47.777,24.396,48.4
816,-44.741,20.99,45.62
817,-45.535,21.889,41.06
818,-47.324,23.632,36.04
819,-45.413,21.831,31.72
820,-42.995,23.513,28
821,-33.474,14.035,24.1
822,0,-22.034,20.82
823,0,-22.377,19.24
824,0,-22.549,18.86
825,0,-22.773,21.46
826,0,-22.071,25.02
827,0,-22.859,26.82
828,0,-22.95,29.02
829,0,-22.199,32.28
830,0,-22.653,34.36
831,0,-22.598,35.2
832,0,-23.329,37.36
833,0,-23.078,40.6
834,0,-23.198,44.7
835,0,-22.661,44.92
836,0,-23.156,46.66
837,0,-22.707,47.84
838,0,-22.828,48.32
839,0,-22.965,48.68
840,0,-23.168,49.06
841,0,-22.362,49.78
842,0,-22.706,51.24
843,0,-22.566,51.58
844,0,-22.887,52.8
845,0,-23.062,53.48
846,-26.868,4.126,53.78
847,-43.659,23.291,53.98
848,-39.337,18.796,54.26
849,-36.86,16.48,55
850,-35.619,14.007,55.68
851,-32.922,12.09,55.98
852,-30.925,9.896,56.24
853,-29.13,7.745,57.36
854,-28.036,7.208,59.08
855,-26.719,5.915,60.7
856,-24.983,4.482,61.38
857,-24.787,4.24,61.9
858,-25.134,3.991,62.34
859,-25.985,4.89,62.84
860,-25.262,4.556,63.22
861,-24.959,4.126,63.52
862,-23.471,2.591,64
863,-23.595,2.64,64.96
864,-23.12,2.601,66.4
865,0,-22.363,67.64
866,0,-22.668,69.06
867,0,-22.265,70.22
868,0,-22.476,70.92
869,0,-22.783,71.74
870,0,-22.614,72.82
871,0,-22.53,74.32
872,0,-22.435,75.74
873,0,-22.646,76.32
874,0,-23.188,76.52
875,0,-22.911,76.34
876,0,-22.801,76.04
877,0,-24.87,75.64
878,-57.061,33.564,75.12
879,-63.996,45.409,74.34
880,-51.116,31.971,73.02
881,-0.318,-21.769,71.66
882,0,-22.686,70.58
883,0,-22.69,70.22
884,0,-22.772,70.1
885,0,-22.678,69.04
886,0,-22.875,68.12
887,0,-22.414,67.64
888,0,-22.498,67.34
889,0,-22.544,67.34
890,0,-22.693,67.62
891,0,-22.849,68.12
892,0,-22.851,68.42
893,0,-22.761,68.32
894,-33.171,15.413,67.74
895,-68.463,49.419,66.52
896,-50.786,30.601,65.44
897,0,-22.388,64.94
898,0,-22.464,64.5
899,0,-22.509,63.84
900,0,-22.517,63.08
901,0,-22.492,62.34
902,0,-22.46,61.8
903,-44.781,24.551,61.62
904,-54.818,30.964,61.38
905,-61.295,38.691,60.58
906,-58.258,35.589,59.12
907,-52.998,33.916,55.88
908,-51.085,31.796,51.38
909,-45.075,26.839,47.54
910,-16.222,-5.093,44.46
911,-19.089,-1.338,42.46
